OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326778"",""ED-GRANTS-050420-006"")",Institute of Education Sciences (IES): Research Training Programs in Special Education CFDA Number 84.324B,ED,Department of Education,,,"Katherine Taylor
Katherine.Taylor@ed.gov",,Katherine.Taylor@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:58:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326781"",""ED-GRANTS-050420-007"")",Institute of Education Sciences (IES):Research Grants Focused on NAEP Process Data for Learners with Disabilities CFDA 84.324P,ED,Department of Education,,,"Sarah Brasiel
Sarah.Brasiel@ed.gov",,Sarah.Brasiel@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:59:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326756"",""ED-GRANTS-050420-008"")",Institute of Education Sciences (IES): Research Grants Focused on Systematic Replication CFDA Number 84.324R,ED,Department of Education,,,"Katherine Taylor
Katherine.Taylor@ed.gov",,Katherine.Taylor@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 14:00:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326705"",""ED-GRANTS-050420-001"")",Institute of Education Sciences (IES): Education Research CFDA Number 84.305A,ED,Department of Education,,,"Erin Higgins
Erin.Higgins@ed.gov",,Erin.Higgins@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:45:23,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326777"",""ED-GRANTS-050420-005"")",Institute of Education Sciences (IES): Special Education Research CFDA Number 84.324A,ED,Department of Education,,,"Jacquelyn Buckley
Jacquelyn.Buckley@ed.gov",,Jacquelyn.Buckley@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:57:23,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326707"",""ED-GRANTS-050420-002"")",Institute of Education Sciences (IES): Research Training Programs in the Education Sciences CFDA Number 84.305B,ED,Department of Education,,,"Katina Stapleton
Katina.Stapleton@ed.gov",,Katina.Stapleton@ed.gov,,,05/04/2020,08/20/2020,06/23/2020 13:47:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326669"",""20-569"")",Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science,NSF,National Science Foundation,3000000,3,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/01/2020,01/26/2021,05/01/2020 01:00:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326708"",""NOT-NS-20-058"")",Notice of Intent to Publish a Funding Opportunity Announcement for NINDS Exploratory Grant Program in Parkinson's Disease Research (P20- Clinical Trial Optional) (P20 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,1800000,4,"Beth-Anne Sieber, PhD",(301) 496-5680,Beth-Anne.Sieber@nih.gov,,,05/01/2020,,05/01/2020 00:00:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326710"",""NOT-DA-20-045"")",Notice of Intent to Publish a Funding Opportunity Announcement for Avenir Award Program for Research on Substance Use Disorders and HIV/AIDS (DP2 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"Redonna Chandler, PhD   ",301-402-1919,redonna.chandler@nih.gov,,,05/01/2020,,05/01/2020 00:00:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326714"",""NOT-NS-20-057"")",Notice of Intent to Publish a Funding Opportunity Announcement for NINDS Morris K. Udall Centers of Excellence for Parkinson's Disease Research (P50 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,6750000,3,"Beth-Anne Sieber, PhD",(301) 496-5680,Beth-Anne.Sieber@nih.gov,,,05/01/2020,,05/01/2020 00:00:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326713"",""NOT-AA-20-005"")","Notice of Intent to Publish a Funding Opportunity Announcement for Alcohol-HIV/AIDS Program Project Comorbidities, Coinfections, and Complications Research: Intervention and Cross-Cutting Foundational Research (P01 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,10000000,8,"Kendall Bryant, Ph.D.",301-402-0332,Email: kbryant@mail.nih.gov,,,05/01/2020,,05/01/2020 00:00:01,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326703"",""BOR-DO-20-F002"")",WaterSMART Drought Response Program: Drought Resiliency Projects for Fiscal Years 2020 and 2021,DOI-BOR,Bureau of Reclamation,,15,"Matthew D Reichert
Grants Management Specialist
Phone 303-445-3865",,mreichert@usbr.gov,,,05/01/2020,08/05/2020,06/16/2020 17:09:16,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326712"",""NOT-OD-20-099"")","Notice of Intent to Publish a Funding Opportunity Announcement for PHS 2020 Omnibus Solicitations of the NIH, CDC, and FDA for Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Grant Applications",HHS-NIH11,National Institutes of Health,,,"SEED (Small business Education and Entrepreneurial Development)
Office of Extramural Research

",,,,,05/01/2020,,07/09/2020 15:42:09,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326647"",""W81XWH-20-BCRP-BTA3-2"")","DoD, Breast Cancer, Breakthrough Award Level 3",DOD-AMRAA,Dept. of the Army -- USAMRAA,6400000,1,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,10/06/2020,04/30/2020 09:12:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326659"",""W81XWH-20-BCRP-TBCCA"")","DoD, Breast Cancer, Transformative Breast Cancer Consortium Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,32000000,1,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,10/06/2020,04/30/2020 09:39:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326657"",""W81XWH-20-BCRP-BTA4-2"")","DoD, Breast Cancer, Breakthrough Award Level 4",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,1,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,10/06/2020,04/30/2020 09:19:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326702"",""RFA-HL-21-013"")",Disease Modifying Therapies for Chronic Lung Disease (R61/R33 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,06/01/2022,05/01/2020 11:48:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326655"",""W81XWH-20-BCRP-BTA12-2"")","DoD, Breast Cancer, Breakthrough Award Levels 1 and 2",DOD-AMRAA,Dept. of the Army -- USAMRAA,22600000,15,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,09/22/2020,04/30/2020 09:06:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326648"",""W81XWH-20-BCRP-INNOV-2"")","DoD, Breast Cancer, Innovator Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,11200000,1,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,10/06/2020,04/30/2020 09:25:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326658"",""W81XWH-20-BCRP-EOHS-2"")","DoD, Breast Cancer, Era of Hope Scholar Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,4800000,1,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,04/30/2020,09/22/2020,04/30/2020 09:31:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326673"",""PAR-20-180"")",Identifying Innovative Mechanisms or Interventions that Target Multimorbidity and Its Consequences (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,09/07/2023,04/30/2020 13:06:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326674"",""PAR-20-179"")",Advancing Research to Develop Improved Measures and Methods for Understanding Multimorbidity (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,09/07/2023,04/30/2020 13:10:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326651"",""RFA-ES-20-011"")",Superfund Research Program Occupational Health and Safety Education Programs on Emerging Technologies (R25 - Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,08/03/2020,04/30/2020 12:13:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326634"",""ED-GRANTS-043020-002"")",Office of Postsecondary Education: Higher Education Emergency Relief Fund-Tribally Control Colleges and Universities CFDA Number 84.425K,ED,Department of Education,,,HEERF@ed.gov,,HEERF@ed.gov,,,04/30/2020,08/01/2020,06/25/2020 08:58:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326627"",""ED-GRANTS-043020-003"")",Office of Postsecondary Education: Higher Education Emergency Relief Fund-Minority Serving Institutions CFDA Number 84.425L,ED,Department of Education,,,HEERF@ed.gov,,HEERF@ed.gov,,,04/30/2020,08/01/2020,06/25/2020 09:00:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326626"",""ED-GRANTS-043020-001"")",Office of Postsecondary Education: Higher Education Emergency Relief Fund-Historically Black Colleges and Universities CFDA Number 84.425J,ED,Department of Education,,,HEERF@ed.gov,,HEERF@ed.gov,,,04/30/2020,08/01/2020,06/25/2020 08:57:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326628"",""ED-GRANTS-043020-005"")",Office of Postsecondary Education: Higher Education Emergency Relief Fund-FIPSE CFDA Number 84.425N,ED,Department of Education,,,HEERF@ed.gov,,HEERF@ed.gov,,,04/30/2020,08/01/2020,06/25/2020 09:01:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326636"",""ED-GRANTS-043020-004"")",Office of Postsecondary Education: Higher Education Emergency Relief Fund-Strengthening Institutions Program CFDA Number 84.425M,ED,Department of Education,,,HEERF@ed.gov,,HEERF@ed.gov,,,04/30/2020,08/01/2020,06/25/2020 09:02:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326646"",""72038820APS00001"")",USAID/Bangladesh and the Private Sector: Partnering to Fight COVID-19,USAID-BAN,Bangladesh USAID-Dhaka,,1,"Ahsan Rahman
Assistance Specialist
Phone 88028855500",,marahman@usaid.gov,,,04/30/2020,04/29/2021,06/28/2020 05:17:28,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326678"",""FOA-ETA-20-04"")",Workforce Opportunity for Rural Communities (WORC),DOL-ETA,Employment and Training Administration,29200000,35,"Jenifer McEnery
Grants Management Specialist
McEnery.Jenifer@dol.gov",,mcenery.jenifer@dol.gov,,,04/30/2020,07/29/2020,07/03/2020 09:35:03,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326652"",""PAR-20-178"")",Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,08/13/2020,07/14/2020 16:34:14,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326664"",""PAR-20-177"")",Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/30/2020,08/13/2020,07/15/2020 13:17:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326640"",""RFA-ES-20-010"")",U.S. - India Collaborative Environmental Health Research Program (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,1000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/29/2020,10/15/2020,04/29/2020 15:56:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326588"",""DOS-CPT-202002"")",Annual Program Statement,DOS-ZAF,U.S. Mission to South Africa,100000,6,PAS Cape Town,,capetowngrants@state.gov,,,04/29/2020,08/15/2020,04/30/2020 06:59:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326612"",""NNH20ZDA001N-NIP"")",ROSES 2020: The New (Early Career) Investigator Program in Earth Science,NASA-HQ,NASA Headquarters,,,"Allison Leidner
Earth Science Division
Science Mission Directorate
NASA Headquarters 
Washington, DC 20546-0001
     Telephone: 202.358.0855
     Email: Allison.K.Leidner@nasa.gov",,Allison.K.Leidner@nasa.gov,,,04/28/2020,09/15/2020,04/28/2020 09:39:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326583"",""NOAA-OAR-OER-2021-2006431"")",Ocean Exploration Fiscal Year 2021 Funding Opportunity,DOC,Department of Commerce,3000000,7,"For further information and for applicants without internet, contact the NOAA Office of Ocean Exploration and Research at (301) 734-1014 or oer.ffo2021@noaa.gov. Email inquiries should include the Principal Investigator's name in the subject heading. Inquiries can also be mailed to: NOAA Office of Ocean Exploration and Research, ATTN: OER FFO 20210, SSMC3, Rm 10316, 1315 East West Highway, Silver Spring, Maryland 20910.",,oer.ffo2021@noaa.gov,,,04/28/2020,10/22/2020,06/09/2020 13:59:09,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326598"",""HRSA-21-021"")",Rural Health Network Development Planning Program,HHS-HRSA,Health Resources and Services Administration,2000000,20,Jillian Causey,(301) 443-1493,JCausey@hrsa.gov,08/18/2020,11/16/2020,04/27/2020,,04/27/2020 08:40:27,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326599"",""HRSA-21-027"")",Rural Health Care Services Outreach Program,HHS-HRSA,Health Resources and Services Administration,,60,Alexa Ofori,(301) 945-3986,AOfori@hrsa.gov,09/29/2020,12/01/2020,04/27/2020,,04/27/2020 08:47:27,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326595"",""ND-NOFO-20-111"")",COVID-19 Small Grants Program,DOS-IND,U.S. Mission to India,100000,,"Grant Applications Manager, 
U.S. Embassy, New Delhi",,Nd_GrantApplications@state.gov,,,04/27/2020,07/31/2020,07/10/2020 05:10:10,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326537"",""20-568"")",Antarctic Research,NSF,National Science Foundation,55000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/24/2020,,04/24/2020 01:00:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326538"",""SRB10020FO002"")",English Language Program Grants,DOS-SRB,U.S. Mission to Serbia,170000,20,"Tatjana Bakraclic
Grantor
Phone 381117064263",,bakraclict@state.gov,,,04/24/2020,08/31/2020,04/24/2020 07:39:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326545"",""W81XWH-20-MSRP-IIRA"")","DoD Multiple Sclerosis, Investigator- Initiated Research Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,7,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/24/2020,10/01/2020,04/24/2020 12:51:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326543"",""W81XWH-20-MSRP-EHDA"")","DoD Multiple Sclerosis, Exploration- Hypothesis Development Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,10,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/24/2020,10/01/2020,04/24/2020 12:47:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326562"",""W81XWH-20-MSRP-CTA"")","DoD Multiple Sclerosis, Clinical Trial Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,16000000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/24/2020,10/01/2020,05/18/2020 14:52:18,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326526"",""AFLUA-20-01"")",U.S. Embassy Angola PAS Annual Program Statement,DOS-AGO,U.S. Mission to Angola,150000,10,"Public Affairs Grant Management Team

Phone 00244222641000",,PASInboxLuanda@state.gov,,,04/23/2020,08/30/2020,04/23/2020 11:50:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326523"",""PA-20-173"")",Independent Scientist Award (Parent K02 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/23/2020,05/07/2023,04/23/2020 11:02:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326501"",""PA-20-174"")",Independent Scientist Award (Parent K02 - Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/23/2020,05/07/2023,04/23/2020 11:13:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326524"",""PA-20-171"")",Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/23/2020,05/07/2023,04/23/2020 11:07:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326528"",""HR001120S0044"")",Biological Technologies,DOD-DARPA-BTO,DARPA - Biological Technologies Office,,,"BAA Coordinator
BTOBAA2020@darpa.mil",,BTOBAA2020@darpa.mil,,,04/23/2020,04/22/2021,04/23/2020 13:58:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326489"",""20-567"")",Coastlines and People Hubs for Research and Broadening Participation,NSF,National Science Foundation,29500000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/22/2020,09/09/2020,07/07/2020 01:00:07,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326518"",""DE-FOA-0002337"")",Ultrahigh Temperature Impervious Materials Advancing Turbine Efficiency,DOE-ARPAE,Advanced Research Projects Agency Energy ,28000000,20,"ARPA-E
Contracting Officer",,ARPA-E-CO@hq.doe.gov,,,04/22/2020,08/31/2020,07/16/2020 14:54:16,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326519"",""DE-FOA-0002338"")",Ultrahigh Temperature Impervious Materials Advancing Turbine Efficiency SBIR/STTR (ULTIMATE SBIR/STTR),DOE-ARPAE,Advanced Research Projects Agency Energy ,28000000,20,"ARPA-E
Contracting Officer",,ARPA-E-CO@hq.doe.gov,,,04/22/2020,08/31/2020,07/16/2020 15:02:16,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326475"",""W81XWH-20-MRP-TDPA"")","DoD Melanoma, Technology Development Partnership Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,20000000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/21/2020,09/24/2020,04/21/2020 08:18:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326476"",""W81XWH-20-MRP-TSA"")","DoD Melanoma, Team Science Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,20000000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/21/2020,09/24/2020,04/21/2020 08:26:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326474"",""W81XWH-20-MRP-MCAA"")","DoD Melanoma, Mid-Career Accelerator Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,20000000,4,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,04/21/2020,09/24/2020,04/21/2020 08:13:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326473"",""NNH20ZDA001N-ACT"")",ROSES 2020: Advanced Component Technology,NASA-HQ,NASA Headquarters,,,"Amber E. Emory
Science Mission Directorate
Earth Science Technology Office
National Aeronautics and Space Administration
Washington, DC 20546
Telephone: 301-614-6274
Email: amber.emory@nasa.gov",,amber.emory@nasa.gov,,,04/21/2020,07/21/2020,04/21/2020 07:40:21,Synopsis 1,
